tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,dt_start_date,dt_starting_time,dt_starttime
304,2021-02-01 00:04:23.0780,2021-02-01 00:09:27.7920,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,4045,West End Ave & W 60 St,40.77237,-73.99005,27451,Subscriber,1996,2,2021-02-01,00:04:23.078000,2021-02-01 00:04:23.078
370,2021-02-01 00:07:08.8080,2021-02-01 00:13:19.4670,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,35000,Subscriber,1991,1,2021-02-01,00:07:08.808000,2021-02-01 00:07:08.808
635,2021-02-01 00:07:55.9390,2021-02-01 00:18:31.0390,502,Henry St & Grand St,40.714211,-73.981095,411,E 6 St & Avenue D,40.72228087,-73.97668709,49319,Subscriber,1980,2,2021-02-01,00:07:55.939000,2021-02-01 00:07:55.939
758,2021-02-01 00:08:42.0960,2021-02-01 00:21:20.7820,3136,5 Ave & E 63 St,40.766368,-73.971518,3284,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,48091,Customer,1969,0,2021-02-01,00:08:42.096000,2021-02-01 00:08:42.096
522,2021-02-01 00:09:32.6820,2021-02-01 00:18:15.4100,505,6 Ave & W 33 St,40.74901271,-73.98848395,3687,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,48596,Subscriber,1988,1,2021-02-01,00:09:32.682000,2021-02-01 00:09:32.682
1044,2021-02-01 00:10:32.7310,2021-02-01 00:27:57.1570,3527,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,3527,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,48609,Customer,1969,0,2021-02-01,00:10:32.731000,2021-02-01 00:10:32.731
1024,2021-02-01 00:11:23.1290,2021-02-01 00:28:27.6480,3527,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,3527,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,49663,Customer,1969,0,2021-02-01,00:11:23.129000,2021-02-01 00:11:23.129
480,2021-02-01 00:11:53.3860,2021-02-01 00:19:53.6650,346,Bank St & Hudson St,40.73652889,-74.00618026,285,Broadway & E 14 St,40.73454567,-73.99074142,49480,Subscriber,1975,1,2021-02-01,00:11:53.386000,2021-02-01 00:11:53.386
305,2021-02-01 00:11:56.8830,2021-02-01 00:17:02.4710,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,3263,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,49824,Subscriber,1989,1,2021-02-01,00:11:56.883000,2021-02-01 00:11:56.883
180,2021-02-01 00:14:15.2590,2021-02-01 00:17:16.1590,3808,24 St & 41 Ave,40.752474,-73.939991,3808,24 St & 41 Ave,40.752474,-73.939991,37407,Subscriber,1984,1,2021-02-01,00:14:15.259000,2021-02-01 00:14:15.259
254,2021-02-01 00:18:16.4460,2021-02-01 00:22:31.2630,3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,3141,1 Ave & E 68 St,40.76500525,-73.95818491,35000,Subscriber,1991,1,2021-02-01,00:18:16.446000,2021-02-01 00:18:16.446
768,2021-02-01 00:18:37.6500,2021-02-01 00:31:26.0060,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,119,Park Ave & St Edwards St,40.69608941,-73.97803415,49642,Customer,1996,1,2021-02-01,00:18:37.650000,2021-02-01 00:18:37.650
863,2021-02-01 00:19:44.5450,2021-02-01 00:34:08.3630,3718,E 11 St & Avenue B,40.727464206923926,-73.97950418293476,474,5 Ave & E 29 St,40.7451677,-73.98683077,33732,Customer,1987,1,2021-02-01,00:19:44.545000,2021-02-01 00:19:44.545
6713,2021-02-01 00:20:11.2290,2021-02-01 02:12:04.8490,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3141,1 Ave & E 68 St,40.76500525,-73.95818491,37620,Subscriber,1975,2,2021-02-01,00:20:11.229000,2021-02-01 00:20:11.229
1461,2021-02-01 00:21:41.3820,2021-02-01 00:46:03.1120,3687,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,4232,6 Ave & W 45 St,40.756951,-73.98263100000001,47863,Subscriber,1990,1,2021-02-01,00:21:41.382000,2021-02-01 00:21:41.382
748,2021-02-01 00:23:10.3630,2021-02-01 00:35:38.6190,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,3310,14 St & 7 Ave,40.663779,-73.98396846,49385,Subscriber,1980,1,2021-02-01,00:23:10.363000,2021-02-01 00:23:10.363
119,2021-02-01 00:24:25.2250,2021-02-01 00:26:25.2010,3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,4061,Fort Washington Ave & W 173 St,40.84522,-73.940493,37584,Subscriber,1970,1,2021-02-01,00:24:25.225000,2021-02-01 00:24:25.225
5581,2021-02-01 00:25:15.3520,2021-02-01 01:58:16.9310,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,501,FDR Drive & E 35 St,40.744219,-73.97121214,49787,Customer,1987,1,2021-02-01,00:25:15.352000,2021-02-01 00:25:15.352
350,2021-02-01 00:27:39.5230,2021-02-01 00:33:30.1170,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,4236,W 54 St & 11 Ave,40.768333,-73.992573,49584,Subscriber,1992,1,2021-02-01,00:27:39.523000,2021-02-01 00:27:39.523
465,2021-02-01 00:28:22.4370,2021-02-01 00:36:08.4130,3635,W 36 St & 9 Ave,40.754623240291046,-73.99516761302948,3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,49375,Subscriber,1990,1,2021-02-01,00:28:22.437000,2021-02-01 00:28:22.437
2943,2021-02-01 00:28:41.2440,2021-02-01 01:17:45.2090,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,3749,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,37240,Customer,1969,0,2021-02-01,00:28:41.244000,2021-02-01 00:28:41.244
